id,title,commemorating,date_of_incident,description,inscription,address,location_guide,map_grid_ref,previous_location,nature,physical_type,physical_materials,setting,access,post_unveiling,commissioned_by,artist(s),date_unveiled,comments,gps_x,gps_y
674,Bill Reynolds Plaque,"UDA member Bill Reynolds shot dead by the IRA.
 Person(s) commemorated",07 July 1987,"Square-shaped plaque with wooden surround, attached to the wall of a building.",Single inscription,"Ligoniel Road, Legoniel, Belfast North,  County Antrim, Northern Ireland. Bt14 8B",,IJ308770,,"Paramilitary, Loyalist, UDA",Plaque,"Stone Marble, Wood",Street,Public Unrestricted,,"Family, Friends and Comrades",,,,54.623817748685454,-5.976234276123415
675,UVF Plaques and Mural (Ballysillan Road),"UVF members from the Ballysillan area of north Belfast.
 Person(s) commemorated",14 September 1986,"Series of six plaques mounted on gable wall of maisonnettes, on which is painted a large mural.",Numerous,"Sunningdale Gardens, Ballysillan Road (off), Ballysillan, Belfast North,  County Antrim, Northern Ireland. BT14 6??",On the gable wall of maissonettes; at the junction of Sunningdale Gardens and Ballysillan Road.,IJ318778,,"Paramilitary, Loyalist, UVF","Plaques, and Mural","Stone Marble, Paint",Street,Private Restricted (viewable from the street; gate usually open),,,,,"Of the five people named on the plaques, three are listed in Sutton's Index of Deaths.",54.63147046475588,-5.95949933167392
676,UDA/UFF Memorial (Boundary Way),"UDA members - UDA, ""C"" Company, 2nd Battalion, West Belfast Brigade.
 Person(s) commemorated",,"Small enclosure surrounded by railings and gates, containing one large stone plaque and 13 smaller metal plaques.",Numerous,"Boundary Way, Shankill, Belfast West,  County Antrim, Northern Ireland. BT13 1DU",At the end of Boundary Way??,IJ328748,,"Paramilitary, Loyalist, UDA, UFF",Memorial Enclosure,"Stone Marble, Brick, Metal Brass Iron",Street,Public Restricted (Gates open at time of visit),The external wall of the enclosure had suffered some paint damage at time of visit.,,,,"There are 13 metal plaques attached to the rear wall. Of the 13 named, three are not listed in Sutton's Index of Deaths.",54.60391763651958,-5.945401174236442
679,RUC Peace Window and Plaque.,"RUC officers killed during the conflict.
 Person(s) commemorated",,Medium-sized stained glass window. Design based around the figure of Jesus. Incorporates the emblem of the RUC and the George Cross Medal which was awarded to the RUC.  Next to the window is a brass plaque which explains the window.,"Two inscriptions: one as part of the window, and one on a plaque attached to the wall.","St Anne's Cathedral, Donegall Street, Belfast North,  County Antrim, Northern Ireland. BT1 2LD",Entering the Cathedral by the main entrance the window can be found on the left-hand side close to the main altar. 339747,IJ339747,,"British Security, British Police, RUC","Other, Window, Stained glass window, and Plaque",Glass; Metal Brass,"Building Interior, Cathedral",Private Restricted (viewable when Cathedral is open),,,,Sunday 12 October 2008,"""Attending a service at St Anne?s Cathedral, Belfast, to dedicate a stained glass window to the RUC GC Shaun Woodward paid tribute to the important work of The Foundation."" NIO 12/10/08.",54.602779531819145,-5.928712734543268
680,RIR Plaque,"Royal Irish Regiment (RIR) of the British Army.
 Person(s) commemorated",,Two stone plaques on the wall of the Cathedral.,Inscriptions on the two plaques.,"St Anne's Cathedral, Donegall Street, Belfast North,  County Antrim, Northern Ireland. BT1 2LD",Entering the Cathedral by the main entrance the plaques are in The Regimental Chapel which can be found on the left-hand side close to the main altar. 339747,IJ339747,,"British Security, British Army, RIR",Plaques,Stone,"Building Interior, Cathedral",Private Restricted (viewable when Cathedral is open),,,,,,54.602779531819145,-5.928712734543268
681,UDR Plaque,"Men and women who served with the Ulster Defence Regiment  (UDR) of the British Army.
 Person(s) commemorated",,Large stone plaques on the wall of the Cathedral.,THIS MEMORIAL COMMEMORATES | the men and women who served their country | in the battalions of | THE ULSTER DEFENCE REGIMENT | 1970 -1992. | etc.,"St Anne's Cathedral, Donegall Street, Belfast North,  County Antrim, Northern Ireland. BT1 2LD",Entering the Cathedral by the main entrance the plaques are close to The Regimental Chapel which can be found on the left-hand side close to the main altar. 339747,IJ339747,,"British Security, British Army, UDR",Plaque,Stone,"Building Interior, Cathedral",Private Restricted (viewable when Cathedral is open),,,,,,54.602779531819145,-5.928712734543268
682,Joe McDonnell Plaque?,Person(s) commemorated,,,,"Marchioness Street, Grosvenor Road (off), Belfast West,  County Antrim, Northern Ireland. BT12 4LA",,IJ329740,,"Paramilitary, Republican, IRA",Plaque,,Street,,,,,2001,,54.59667723744161,-5.944961223464266
683,Curry and O'Hare Plaque,"Rose Curry and Gerard O'Hare, both members of Fianna na hÉireann of the Official Irish Republican Army (OIRA) who were killed in a prematue explosion on 23 September 1971.
 Person(s) commemorated",23 September 1971,Rectangular plaque.,Inscription in English,"Gibson Street, Falls, Belfast West,  County Antrim, Northern Ireland. BT12 ???",Gibson Street is off Leeson Street.,,,"Paramilitary, Republican, OIRA",Plaque,Stone,Street,Public unrestricted,,Official Republican Movement,,18 September 2011,No visit to memorial. Information and photograph courtesy of George McDonald.,,
684,IRA Mural (Lenadoon Avenue),"Five male members and four female members of the IRA.
 Person(s) commemorated",,Large mural on gable wall of house. Central element is a depiction of Cuchulain; names of volunteers appear on either side of the central figure.,Names etc.,"Lenadoon Avenue, Lenadoon Greater, Glencolin, Belfast West,  County Antrim, Northern Ireland. BT11 9H??",Not far from the junction of Lenadoon Avenue and Glenveagh Drive. On the upper end of Lenadoon Avenue.,IJ286715,,"Paramilitary, Republican, IRA",Mural,Paint,Street,Public Unrestricted,,,,,,54.575502082095866,-6.01177422017427
685,UVF Memorial (Ballymacarrett Road),"UVF members Joe Long, James Cordner, Robert Seymour and Robert Bennett.
 Person(s) commemorated",,"Plaque mounted on wall post, around which are low iron railings; with large mural painted on gable wall behind (See Monument No.404)",Single inscription.,"Ballymacarrett Road, Ballymacarrett / Island ??, Belfast East,  County Antrim, Northern Ireland. BT4 1DH?",At the junction of Ballymacarrett Road and Fraser Pass.,IJ354746,,"Paramilitary, Loyalist, UVF",Plaque,"Stone Marble, Metal Iron",Street,Public Unrestricted,,UVF ??,,2000??,,54.60134077823197,-5.905679827652901
686,Trevor King Plaque and Mural (Disraeli Street),"UVF member Trevor King who was shot by the INLA on 16 June 1994 and died on 9 July 1994.
 Person(s) commemorated",09 July 1994,"A large mural painted on the gable wall of a house, togther with a stone plaque.  Both the mural and the plaque commemorate Trevor King.","Two main inscriptions, one on the plaque and the other on the mural.","Disraeli Street, Woodvale, Belfast North,  County Antrim, Northern Ireland. BT13 3H??","About half way along Disraeli Street, close to the junction of Disraeli Street and Enfield Parade.",IJ318753,,"Paramilitary, Loyalist","Plaque, and Mural",Stone Marble; Paint,Street,Public Unrestricted,,,,,,54.60902508577028,-5.9610407468383535
687,Orange Order Plaque (Bray Close),"Protestants and members of the security forces who lost their lives in the Greater Shankill area.
 Person(s) commemorated",,Medium-sized polished marble plaque mounted on boundary wall within a small enclosure surrounded with a low wall and metal railings with metal gate.,THIS MEMORIAL IS DEDICATED TO THE | etc,"Bray Close, off Bray Street, Woodvale, Belfast North,  County Antrim, Northern Ireland. BT13 3JU",Bray Close is at the end of Bray Street which is furthest from the junction of Bray Street and Woodvale Road.,IJ318756,,"Other, Loyal Order, Orange Order, Loyalist",Plaque,"Stone Marble, Metal Iron",Street,Public Restricted (metal gate kept locked),,Orangemen of North and West Belfast,,,One of only a few Orange Order memorials which are to be found outside of Orange Halls.,54.611785953207836,-5.960654985761031
688,Sam Rockett Plaque and Mural (Disraeli Street),"Young Citizen Volunteer (YCV) / UVF member Samuel Rockett who was killed during a UVF / UDA feud.
 Person(s) commemorated",23 August 2000,"A large mural painted on the gable wall of a house, togther with a stone plaque.  Both the mural and the plaque commemorate Samuel Rockett.",Main inscription on plaque with additional text on the mural.,"Disraeli Street, Woodvale, Belfast North,  County Antrim, Northern Ireland. BT13 3H?","About half way along Disraeli Street, close to the junction of Disraeli Street and Enfield Parade.",IJ318753,,"Paramilitary, Loyalist","Plaque, and Mural",Stone Marble; Paint,Street,Public Unrestricted,,,,,,54.6089001839891,-5.961093429867156
689,UVF WDA Memorial Enclosure (Disraeli Court),"Members of the Ulster Volunteer Force and members of the Woodvale Defence Association.  The memorial also commemorates the people of the Woodvale area killed during the conflict.
 Person(s) commemorated",,"Medium-sized, rectangular enclosure comprised of low walls and railings, with a double metal gate at the front and a large plaque on the rear wall.  Also contains two flagepoles.",Plaque includes two inscriptions and two crests.,"Disraeli Court, Woodvale, Belfast North,  County Antrim, Northern Ireland. BT13 3JY",Located at the junction of Disraeli Court and Disraeli Street.,IJ319756,,"Paramilitary, Loyalist, UVF, WDA",Memorial Enclosure,"Brick, Stone Marble, Metal Iron,",Street,Public Unrestricted (gate unlocked at time of visit),,UVF ??,,,It is slightly unusual to see both the UVF and part of the UDA commemorated on the same memorial.,54.61151242339253,-5.959352874281998
691,The Family Tree,"While not believed to be a conflict memorial, the sculpture does include metal tags with inscriptions such as 'Shankill Bomb Memorial' and 'The Troubles'.
 Person(s) commemorated",,A large metal sculpture in the form of a sylised 'tree' which has been split in half.,,"Woodvale Park, Woodvale Road, Woodvale, Belfast North,  County Antrim, Northern Ireland. BT?? ???",Close to entrance at the east side of Woodvale Park.  Not far from the junction of Woodvale Road and Ballygomartin Road.,IJ316751,,Civilian,"Other, Sculpture",Metal (Galvinised Steel),"Other, Parkland",Public Restricted (accessible during park opening hours),,Shankill Alternatives,,June 2008,The artwork was created by young people from Shankill Alternatives which is one of number of Community Restorative Justice schemes which operate in Loyalist areas of Belfast.,54.60737770148706,-5.963522272232034
692,Woodvale Defence Association Plaque and Mural (Ohio Street),"Members of the Woodvale Defence Assocation (WDA) who died in the conflict or who were imprisoned; also Ernest Elliott.
 Person(s) commemorated",07 December 1972,"Large wall mural, painted on gable wall of terrace house, featuring a large central portrait. To the left-hand side of the mural is a dedication painted on a wall and also a marble plaque containing a similarly worded dedication.",,"Ohio Street, Woodvale, Belfast North,  County Antrim, Northern Ireland. BT13 3HT",Close to the junction of Ohio Street and Columbia Street.,IJ319755,,"Paramilitary, Loyalist, WDA, UFF",Mural,Paint; Stone Marble,Street,Public Unrestricted,,,,,,54.61050419499666,-5.958706759909986
693,Bayardo Bomb Memorial,"The five people killed in the bomb and gun attack on the Bayardo Bar.
 Person(s) commemorated",13 August 1975,"A large monument incorporating a large stone slab, a curved rear wall, two brick columns and a steel arch in the shape of galble wall.  The steel arch incorporates photographs and name of the victims.  Also several plaques, a metal cross, three flagepoles, metal railings and some planting.",Several inscriptions.,"Shankill Road, Shankill, Belfast West,  County Antrim, Northern Ireland. BT13 ??",At the junction of Shankill Road and Dundee Street.,IJ326748,,"Civilian, Loyalist, UVF","Memorial Stone, and Installation","Stone Marble Brick, Metal Steel",Street,Public Unrestricted,,The Bayardo Somme Association,,,,54.60401847090668,-5.948166500118428
694,1st Shankill Somme Association Memorial,"Mainly commemorates those who died in the First World War fighting with the 36th Ulster Division, but also remembers those who died in later conflicts.
 Person(s) commemorated",13 August 1975,"A substantial memorial incorporating a large memorial stone on a stone plinth, two engraved pieces of glass, a rear wall, a low front wall on the boundary of a small enclosure, three flag polies, two dedication plaques, and two metal poppy wreaths. There is also a sign to the left-hand side.",Two main inscriptions and inscriptions on two dedication plaques.,"Shankill Road, Shankill, Belfast West,  County Antrim, Northern Ireland. BT13 ??",On a piece of ground adjoining (on west side of) Shankill Graveyard.,IJ319750,,"Civilian, Loyalist","Memorial Garden, and Monument","Brick, Stone Marble, Glass, Tile, Hard Landscaping.",Street,Private Restricted (gate on Shankill Road locked but access possible via Shankill Graveyard during opening hours).,,The office bearers and members of the 1st Shankill Somme Association.,,21 February 2009,It is not entirely clear if the monument also commemorates people who died during 'the Troubles'.,54.606019304181615,-5.9596896985543335
695,Hunger Strike Memorial (Gardenmore Road),"The ten Republicans who died on Hunger Strike in 1981 and the two other Republicans who died on Hunger Strike in 1976 and 1974.
 Person(s) commemorated",05 May 1981,Large stone slab with text in raised metal lettering; also a metal sculpture of a dove.  The stone monument is set on a paved area in the form of a Celtic cross.,Inscription contains the names of the dead.,"Gardenmore Road, Twinbrook, Belfast West,  County Antrim, Northern Ireland. BT17 0??",Close to the junction of Gardenmore Road and Twinbrook Road and next to Laburnum Park.  Sited next to the IRA Monument (ID No.632),IJ280691,,"Paramilitary, Republican, IRA",Memorial Stone,Stone Granite,Street,Public Unrestricted,,,,7 May 2006,"Monument unveiled in 2006 by Robert McBride, a member of the ANC, and grandson of John McBride who was executed following the Easter Rising in 1916.  Memorial stone's weight: 5 and 1/2 tons. Unveiled by Robert McBride, leading member of the African National Congress and currently Chief of Police for Johannesburg's East Rand District. Proceedings chaired by Jennifer McCann, former political prisoner and comrade of Bobby Sands. Main speaker at the unveiling ceremony: Raymond McCartney.",54.55412384165034,-6.023094298392428
696,The Centre Memorial Plaque,"Mainly comemorates people from the local area who died of natural causes.
 Person(s) commemorated",30 November 1975,Metal plaque on wooden support.,Names.,"The Centre, Conway Street, Shankill, Belfast West,  County Antrim, Northern Ireland. BT13 2DE",Junction of Conway Street and Third Street.,IJ324746,,Civilian,Plaque,"Metal Brass, Wood",Building Interior,Private Restricted (open to members of The Centre),,,,,[Need to check if any of the named died as a result of the conflict],54.60274884994015,-5.9511864176730835
697,Kinner Mural (Conway Walk),"Noel Kinner and members of the Sons of Ulster flute band.  Of all the names listed only Noel Shaw is recorded in Sutton's Index of Deaths.  The status of the other people listed is unclear.
 Person(s) commemorated",30 November 1975,Mural depicting a Roll of Honour to UVF members.,Names of UVF members.,"Conway Walk, Shankill, Belfast West,  County Antrim, Northern Ireland. BT13 2DY",Junction of Conway Walk and Conway Street.,IJ324746,,"Paramilitary, Loyalist, UVF",Mural,Paint,Street,Public Unrestricted,,UVF,,,,54.60274884994015,-5.9511864176730835
699,Shankill Bomb Plaques (Frizzell's Fish Shop),"The nine people killed when a bomb exploded at Frizzell's Fish Shop on the Shankill Road
 Person(s) commemorated",23 October 1993,"Two plaques, oval stone plaque on wooden support, plus a circular metal plaque.",Inscription on the stone plaque; none on the metal plaque.,"Shankill Road (No.271), Shankill, Belfast West,  County Antrim, Northern Ireland. BT13 ??","Former site of Frizzell's Fish Shop, at time of visit Court Credit Union Ltd.",IJ324748,,Civilian,Plaque,"Stone Marble, Wood, Metal Brass",Street,Public Unrestricted,,McKinner Family,,,,54.60453406293823,-5.952613501122138
7,Carty Memorial - (nvtd),Person(s) commemorated,,(testtext),,"West End, Bundoran,  County Donegal, Republic of Ireland. n.a.",,IG819588,,"Paramilitary, Republican, IRA",Plaque,,Street,,,,,2005,,54.47756654346089,-8.279450788728264
700,Shankill Bombings Mural,"All those killed in bomb attacks on premises on the Shankill Road: Fourstep Inn; Balmoral Showrooms; Mountainview Tavern; Bayardo Bar; Frizzell's Fish Shop.
 Person(s) commemorated",29 September 1971,Large 'mural' comprised of a series of contemporary photographs taken at the scenes of the various attacks.  The photographs and text have been printed onto metal panels which were then fixed to the gable wall of the building.,Several inscriptions,"Aberdeen Street, Shankill Road, Shankill, Belfast West,  County Antrim, Northern Ireland. BT13 ??",Junction of Aberdeen Street and Shankill Road.,IJ327748,,Civilian,"Mural, Photographs",Metal Aluminium,Street,Public Unrestricted,,,,,,54.60387148406384,-5.947446473512797
701,Robert Wadsworth Mural (Shankill Road) - (nvtd),"Robert Wadsworth ??
 Person(s) commemorated",,,,"Shankill Road, Shankill, Belfast West,  County Antrim, Northern Ireland. BT13 ??",,IJ322748,,"Paramilitary, Loyalist, UVF",Mural,,Street,,,UVF,,,,54.604137487088835,-5.9557288423790515
702,Brian McCallum Memorial,"UVF member Brian ('Herbie') McCallum.
 Person(s) commemorated",29 June 1993,"A stone plaque attached to a wall incorporating a small mural, three flags, and two metal sculptures based on poppy flower wreaths.  The area is within a small enclosure with a wall and railings on one side and large double gates at the front.",Painted inscriptions on wall and also inscription on plaque.,"Ainsworth Avenue, Woodvale, Belfast North,  County Antrim, Northern Ireland. BT13 3??",Close to the junction of Ainsworth Avenue and Shankill Road.,IJ319750,,"Paramilitary, Loyalist, UVF",Memorial Enclosure,Stone Marble; Metal Steel,Street,Private Restricted (gates unlocked at time of visit),,,,,The mural appears to be painted on to part of the front wall of small builiding housing an electrictiy transformer.,54.606031932063296,-5.959905756640054
703,Stevie McKeag Plaque and Mural,"UDA/UFF member Steview McKeag. This person is not listed in Sutton's Index of Deaths.
 Person(s) commemorated",,A metal plaque incorporated into a large wall mural featuring a central portrait of Stevie McKeag.,Several inscriptions.,"Denmark Street, Shankill, Belfast West,  County Antrim, Northern Ireland. BT13 1AN",Close to the junction of Denmark Street and Boundary Way.,IJ330750,,"Paramilitary, Loyalist, UDA, UFF","Plaque, and Mural","Metal Brass, Paint",Street,Public Unrestricted,,,,,,54.606128148954014,-5.942240638973649
704,William McCullough Mural,"UDA/UFF member William ('Bucky') McCullough. The mural also lists 20 other members of 2nd Battlion UFF West Belfast Brigade.
 Person(s) commemorated",16 October 1981,A large wall mural featuring a central portrait of William McCullough.,Several inscriptions.,"Denmark Street, Shankill, Belfast West,  County Antrim, Northern Ireland. BT13 1AN",Close to the junction of Denmark Street and Boundary Way.,IJ332750,,"Paramilitary, Loyalist, UDA, UFF",Mural,Paint,Street,Public Unrestricted,,,,,,54.60585608305564,-5.939452878470574
705,Stevie McCrea Mural,"Former UVF/RHC member Stevie McCrea.
 Person(s) commemorated",18 February 1989,A large mural pained on the gable wall of a house and an ajoining garden wall.,Several inscriptions.,"Hopewell Crescent, Shankill, Belfast West,  County Antrim, Northern Ireland. BT13 1D?",,IJ330752,,"Paramilitary, Loyalist, UVF, RHC",Mural,Paint,Street,Public Unrestricted,,,,,(Need to check that Stevie McCrea is the same as the Stephen McCrea named in Sutton's Index of Deaths.),54.60718960839832,-5.941784633377331
706,Jackie Coulter Mural,"UDA/UFF member Jackie Coulter who was killed during a Loyalist feud.
 Person(s) commemorated",21 August 2000,A large wall mural featuring a central portrait.,Short dedication and inscription.,"Boundary Walk ??, Shankill, Belfast West,  County Antrim, Northern Ireland. BT13 1DX",Close to the junction of Bounday Walk and Bounday Way ??,IJ331750,,"Paramilitary, Loyalist, UDA, UFF",Mural,Paint,Street,Private Restricted (viewable from the street),,,,,,54.60525794449461,-5.941263030138496
707,Mountainview Bar Plaque,"Five people killed in a Republican bomb attack on the Mountainview Tavern.
 Person(s) commemorated",05 April 1975,Oval-shaped metal plaque.,Short inscription.,"Mountainview Tavern, Shankill Road (No.417-421), Shankill, Belfast West,  County Antrim, Northern Ireland. BT13 3AG",On the front wall of the public house close to the front door.,IJ319750,,"Civilian, and Paramilitary, Loyalist, UDA",Plaque,Metal Brass??,Street,Public Unrestricted,,,,,,54.606031932063296,-5.959905756640054
708,Fourstep Inn Plaque,"Two people killed in bomb attack.
 Person(s) commemorated",29 September 1971,Circular metal plaque.,Short inscription.,"Northern Ireland Supporters Club, Shankill Road (No.352), Shankill, Belfast West,  County Antrim, Northern Ireland. BT13 ???","On the front wall of the public house, on the right-hand side furthest from the door.",IJ320749,,Civilian,Plaque,Metal Brass??,Street,Public Unrestricted,,,,,,54.604912120066054,-5.957438959249703
709,UVF Plaque and Mural (Carnan Street),"Five members of the UVF.
 Person(s) commemorated",19 May 1973,"Two large murals incorporating plaque, shield, and flags.",Inscriptions on murals and on plaque.,"Carnan Street, Shankill, Crumlin, Belfast North,  County Antrim, Northern Ireland. BT13 1P?",At the junction of Carnan Street and Shankill Road.,IJ323748,,"Paramilitary, Loyalist, UVF","Plaque, and Mural","Stone Marble, Paint",Street,Public Unrestricted,,,,,There is an unoffical street name plaque on the opposite wall from the mural.  The street has been named 'C.COY. ST'.,54.6044580690384,-5.953963839626575
710,Balmoral Furniture Showrooms Plaque,"Four people killed in bomb attack.
 Person(s) commemorated",11 December 1971,Circular metal plaque.,Short inscription.,"Shankill Leisure Centre, Shankill Road (No.100), Shankill, Belfast West,  County Antrim, Northern Ireland. BT13 2BD",On the front wall (facing on to Shankill Road) of the Shankill Leisure Centre.,IJ328748,,Civilian,Plaque,Metal Brass??,Street,Public Unrestricted,At the time of the visit there was some graffiti on the plaque.,,,,,54.60391763651958,-5.945401174236442
711,Hunger Strike Plaque and Mural (Iveagh Street),"The ten Republican Hunger Strikers who died in 1981.
 Person(s) commemorated",05 May 1981,"Rectangular-shaped card plaque, enclosed in a perspex and wooden frame, with inscription.  Attached below a mural part of which has been removed.",Inscription includes the names of the ten Hunger Strikers.,"Iveagh Street, Beechmount, Belfast West,  County Antrim, Northern Ireland. BT12 6AU",Close to the junction of Iveagh Street and Fallswater Street.,IJ318733,,"Paramilitary, Republican, IRA, INLA","Plaque, and Mural","Paper, Perspex, Wood, Paint",Street,Public Unrestricted,The mural originally consisted of seven painted panels.  Three of the panels have been removed.,Beechmount Iveagh Commemoration Committee,,4 March 2001,The plaque was unveiled by Mrs Fox on 4th March 2001.,54.590955096198485,-5.960969165757134
712,Angela Gallagher Plaque (Iveagh Drive lower),"Angela Gallagher (17 months)
 Person(s) commemorated",03 September 1971,"Rectangular-shaped stone plaque, with inscription; also flower pot in holder on left-hand side of plaque.",Single inscription; see information on photograph for text.,"Iveagh Drive, Beechmount, Belfast West,  County Antrim, Northern Ireland. BT12 6AW",On a garden wall at the junction of Iveagh Drive and Iveagh Crescent.,IJ318733,,Civilian,Plaque,Stone Marble ??,Street,Public Unrestricted,,Family,,9 September 2007,One of two plaques erected by the family; the other one situated at Iveagh Drive upper.  On 6 September 2007 the IRA released a statement admitting that one of its members fired the shot which ricocheted off a wall and struck the child.  The IRA apologised to the family.  A few days following the statement this plaque was unveiled.,54.5906557343931,-5.961866031696116
713,Liggett and Brady Mural,"IRA member Francis Liggett, and Sinn Fein member Paddy Brady.
 Person(s) commemorated",27 September 1972,Large mural painted on wooden panels fixed to gable wall of house.,Two names and extract of poem by Bobby Sands.,"St James's Crescent, Beechmount, Belfast West,  County Antrim, Northern Ireland. BT12 6E?",At the junction of St James's Crescent and Donegall Road.,IJ316730,,"Paramilitary, Republican, IRA, Political Activist",Mural,"Paint, Wood",Street,Public Unrestricted,,,,,,54.58845561842499,-5.964606030177472
714,Ferguson and Keenan Memorial,"Two Sinn Fein members who died of natural causes.
 Person(s) commemorated",,Curved brick wall with seven large plaques,Names of the two political activists.,"Pantridge Road, Poleglass, Collin Glen, Belfast West,  County Antrim, Northern Ireland. BT17 0PB",At the junction of Pantridge Road and Belle Steele Road.,IJ277701,,"Civilian, Political Activist, Sinn Fein","Other, Brick wall with large stone plaques",Stone Granite Brick,Street,Public Unrestricted,,,,,Not conflict related commemoration.,54.56342720905877,-6.027189680849598
715,Pat McGeown Plaque,"Pat ('Beag') McGeown who is reported as having died in 1996 as a direct result of being on Hunger Strike in 1981. (Not listed in Sutton's Index of Deaths.)
 Person(s) commemorated",,Square-shaped stone plaque attached to wall.,,"Sinn Fein Office, Falls Road (53), Falls, Belfast West,  County Antrim, Northern Ireland. BT12 4PD","On front wall of Sinn Fein Office / shop, at the junction of Falls Road and Sevastopol Street.",IJ324741,,"Civilian, Political Activist ?",Plaque,Stone Marble,Street,Public Unrestricted,,Sinn Fein,,,Not listed in Sutton's Index of Deaths. The inscription on the plaque claims that McGeown died on 1 October 1996 as a direct result of being on the 1981 Hunger Strike.,54.598055628612556,-5.952598256666139
716,Memorial Stone (Mulderg Drive),"Two people: William James (Jimmy) Frazer (14 July 1989) and Thomas (Tom) McDonald (4 September 2001).
 Person(s) commemorated",,Small rough cut boulder on a double plinth; within a gravel enclosure; surrounded by railings and a double gate.,Inscription with names and dates of death.,"Mulderg Drive, Whitewell, Belfast North,  County Antrim, Northern Ireland. BT36 ???",At the end of Muldery Drive close to the junction with Laragh Court; off Gunnel Hill; off Whitewell Road.,IJ336803,,"Other, ?",Memorial Garden,Stone Granite,Street,Public Unrestricted (gates unlocked at time of visit),,,,,These two deaths are not listed in Sutton's Index of Deaths,54.65332818017315,-5.930759109741709
717,East Belfast Protestant Boys Plaques and Mural,"There are two plaques. One is dedicated to ""Fallen Volunteers"" of East Belfast UVF. The second lists three people.
 Person(s) commemorated",,"Large mural on gable wall of building, featuring UVF flag and UCV flag, emblem of the East Belfast Protestant Boys band; plus two plaques.","Inscriptions on each of the two plaques, and on the mural.","Hemp Street, Newtownards Road (off), Ballymacarrett, Belfast East,  County Antrim, Northern Ireland. BT5 ???",At the junction of Hemp Street and Newtownards Road (lower).,IJ362743,,"Paramilitary, Loyalist, UVF","Plaques, and Mural","Metal Brass ??, Paint",Street,Public Unrestricted,,,,,"Of the three people named on one of the plaques, only one name is included in Sutton's Index of Deaths and without a date there is some doubt it it is a match.",54.59815400074715,-5.893943145876675
718,UDA Young Newtown Memorial Plaque,"Five UDA members: R.Warnock; W.Warnock; A.Petherbridge; K.Watters; G.Reid.
 Person(s) commemorated",13 September 1972,"Plaque on purpose built wall, within a smalll raised enclosure, surrounded with metal railings and a gate.",Inscription consists of dedication and the names and dates of death of the UDA members killed.,"Newtownards Road (Lower), Ballymacarrett, Belfast East,  County Antrim, Northern Ireland. BT4 ???",At the junction of Newtownards Road (lower) and St Patrick's Walk.,IJ355744,"Unclear, but it is likely that this plaque was moved from another location.","Paramilitary, Loyalist, UDA",Memorial Enclosure,"Stone Marble, Hard Landscaping, Metal Iron",Street,Public Unrestricted (gate open at time of visit),,,,2009?,,54.59969772976939,-5.9036749899980405
719,UDA Mural (Cosgrave Heights),"Members of UDA 'E' Company 3rd Battalion.
 Person(s) commemorated",,Large mural on gable wall of House; and plaque attached to front garden wall of same house; also a large unmarked boulder.,Several inscriptions,"Cosgrave Heights, Tiger's Bay, Duncairn, Belfast North,  County Antrim, Northern Ireland. BT15 3HJ",In the end 'court' which forms part of Cosgrave Heights; not far from the junction of Cosgrave Heights and Limestone Road. Also possible to walk through alleyway from Mervue Street to the monument.,IJ338759,,"Paramilitary, Loyalist, UDA",Mural,"Stone Marble ??, Paint",Street,Public Unrestricted,,,,,The person named in the plaque does not appear in Sutton's Index of Deaths.  Later informed that a plaque is placed on the boulder for a couple of hours each 11th November.,54.61430259437822,-5.928436882088516
720,RUC Poster 'Our Murdered Colleagues',"All RUC officers killed during the conflict.
 Person(s) commemorated",,A poster featuring photographs of all the 301 RUC officers killed as a result of the conflict between 1969 and 2001.,"Text below each photograph provides: name, age, rank, date of death, name of organisation responsible.","Brooklyn, Knock Road, Belfast East,  County Antrim, Northern Ireland. BT5 6??",The poster is available from the RUC George Cross Foundation which is based within Police Service of Northern Ireland (PSNI) Headquarters; just off the Knock Road; about 1km south from the junction of Knock Road and Upper Newtownards Road.,IJ386733,,"British Security, British Police, RUC","Other, Poster",Paper,"Other, n.a.",Public Restricted (copies of the poster can be purchased but copyright now resides with the RUC GC Foundation and the Daily Telegraph),,RUC Force Publications with the assistance of the Daily Telegraph newspaper.,,2003,Copyright permission to display the image of this poster was given by the RUC George Cross Foundation and the Daily Telegraph.,54.58912010960703,-5.856380025410622
721,Hunger Strike Installation (Beechmount Avenue),"The 12 Republicans who died on Hunger Strike during the conflict.
 Person(s) commemorated",05 May 1981,Series of 12 portraits attached to a gable wall with a H-Block motif in the centre.,H 25,"Beechmount Avenue, Falls, Beechmount, Belfast West,  County Antrim, Northern Ireland. BT12 7NA",At the junction of Beechmount Avenu and Falls Road.,IJ317734,,"Paramilitary, Republican, IRA","Other, Installation",Ceramic? Wood,Street,Public Unrestricted,,,,2006,,54.59188019121958,-5.963615141124899
722,Three Scottish Soldiers Memorial,"Three British soldiers: Dougald McCaughey, 23, John McCaig, and Joseph McCaig, killed by the IRA in March 1971.
 Person(s) commemorated",09 March 1971,A 15 foot obelisk with a memorial plaque and carved portraits of the three soldiers.,Single inscription on the plaque.,"Ballysillan Avenue, Belfast North,  County Antrim, Northern Ireland. BT14 8??",,IJ312758,,"British Security, British Army","Other, Obelisk",Stone Granite?,Street,Public Unrestricted,,Oldpark/ Cavehill Royal British Legion,,29 May 2010,,54.61336224459348,-5.969972865972635
